"DOTA_Tooltip_ability_special_bonus_unique_mars_spear_stun_duration"                      "+%value%s Spear of Mars Stun"
"DOTA_Tooltip_ability_special_bonus_hp_150"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_175"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_200"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_225"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_250"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_275"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_300"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_325"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_350"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_400"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_450"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_475"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_500"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_600"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_650"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_700"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_800"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_mp_100"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_125"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_150"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_175"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_200"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_225"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_250"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_275"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_300"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_350"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_400"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_500"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_600"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_700"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_800"                                               "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_mp_1000"                                              "+%value% Mana"
"DOTA_Tooltip_ability_special_bonus_attack_speed_10"                                      "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_15"                                      "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_20"                                      "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_25"                                      "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_30"                                      "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_35"                                      "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_40"                                      "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_45"                                      "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_50"                                      "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_55"                                      "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_60"                                      "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_70"                                      "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_80"                                      "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_100"                                     "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_110"                                     "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_120"                                     "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_140"                                     "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_160"                                     "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_175"                                     "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_200"                                     "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_attack_speed_250"                                     "+%value% Attack Speed"
"DOTA_Tooltip_ability_special_bonus_corruption_25"                                        "-%value% Armor Corruption"
"DOTA_Tooltip_ability_special_bonus_corruption_3"                                         "-%value% Armor Corruption"
"DOTA_Tooltip_ability_special_bonus_corruption_4"                                         "-%value% Armor Corruption"
"DOTA_Tooltip_ability_special_bonus_corruption_5"                                         "-%value% Armor Corruption"
"DOTA_Tooltip_ability_special_bonus_cleave_15"                                            "+%value%%% Cleave"
"DOTA_Tooltip_ability_special_bonus_cleave_20"                                            "+%value%%% Cleave"
"DOTA_Tooltip_ability_special_bonus_cleave_25"                                            "+%value%%% Cleave"
"DOTA_Tooltip_ability_special_bonus_cleave_30"                                            "+%value%%% Cleave"
"DOTA_Tooltip_ability_special_bonus_cleave_35"                                            "+%value%%% Cleave"
"DOTA_Tooltip_ability_special_bonus_cleave_40"                                            "+%value%%% Cleave"
"DOTA_Tooltip_ability_special_bonus_cleave_60"                                            "+%value%%% Cleave"
"DOTA_Tooltip_ability_special_bonus_cleave_100"                                           "+%value%%% Cleave"
"DOTA_Tooltip_ability_special_bonus_cleave_130"                                           "+%value%%% Cleave"
"DOTA_Tooltip_ability_special_bonus_cleave_140"                                           "+%value%%% Cleave"
"DOTA_Tooltip_ability_special_bonus_cleave_150"                                           "+%value%%% Cleave"
"DOTA_Tooltip_ability_special_bonus_cleave_175"                                           "+%value%%% Cleave"
"DOTA_Tooltip_ability_special_bonus_hp_regen_4"                                           "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_5"                                           "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_6"                                           "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_7"                                           "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_8"                                           "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_10"                                          "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_12"                                          "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_14"                                          "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_15"                                          "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_16"                                          "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_20"                                          "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_25"                                          "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_30"                                          "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_35"                                          "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_40"                                          "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_50"                                          "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_hp_regen_80"                                          "+%value% Health Regen"
"DOTA_Tooltip_ability_special_bonus_mp_regen_1"                                           "+%value% Mana Regen"
"DOTA_Tooltip_ability_special_bonus_mp_regen_150"                                         "+%value% Mana Regen"
"DOTA_Tooltip_ability_special_bonus_mp_regen_175"                                         "+%value% Mana Regen"
"DOTA_Tooltip_ability_special_bonus_mp_regen_2"                                           "+%value% Mana Regen"
"DOTA_Tooltip_ability_special_bonus_mp_regen_250"                                         "+%value% Mana Regen"
"DOTA_Tooltip_ability_special_bonus_mp_regen_3"                                           "+%value% Mana Regen"
"DOTA_Tooltip_ability_special_bonus_mp_regen_4"                                           "+%value% Mana Regen"
"DOTA_Tooltip_ability_special_bonus_mp_regen_5"                                           "+%value% Mana Regen"
"DOTA_Tooltip_ability_special_bonus_mp_regen_6"                                           "+%value% Mana Regen"
"DOTA_Tooltip_ability_special_bonus_mp_regen_8"                                           "+%value% Mana Regen"
"DOTA_Tooltip_ability_special_bonus_mp_regen_10"                                          "+%value% Mana Regen"
"DOTA_Tooltip_ability_special_bonus_mp_regen_14"                                          "+%value% Mana Regen"
"DOTA_Tooltip_ability_special_bonus_movement_speed_10"                                    "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_movement_speed_15"                                    "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_movement_speed_20"                                    "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_movement_speed_25"                                    "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_movement_speed_30"                                    "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_movement_speed_35"                                    "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_movement_speed_40"                                    "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_movement_speed_45"                                    "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_movement_speed_50"                                    "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_movement_speed_60"                                    "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_movement_speed_65"                                    "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_movement_speed_75"                                    "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_movement_speed_90"                                    "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_movement_speed_100"                                   "+%value% Movement Speed"
"DOTA_Tooltip_ability_special_bonus_all_stats_4"                                          "+%value% All Stats"
"DOTA_Tooltip_ability_special_bonus_all_stats_5"                                          "+%value% All Stats"
"DOTA_Tooltip_ability_special_bonus_all_stats_6"                                          "+%value% All Stats"
"DOTA_Tooltip_ability_special_bonus_all_stats_7"                                          "+%value% All Stats"
"DOTA_Tooltip_ability_special_bonus_all_stats_8"                                          "+%value% All Stats"
"DOTA_Tooltip_ability_special_bonus_all_stats_10"                                         "+%value% All Stats"
"DOTA_Tooltip_ability_special_bonus_all_stats_12"                                         "+%value% All Stats"
"DOTA_Tooltip_ability_special_bonus_all_stats_14"                                         "+%value% All Stats"
"DOTA_Tooltip_ability_special_bonus_all_stats_15"                                         "+%value% All Stats"
"DOTA_Tooltip_ability_special_bonus_all_stats_20"                                         "+%value% All Stats"
"DOTA_Tooltip_ability_special_bonus_lifesteal_8"                                          "%value%%% Lifesteal"
"DOTA_Tooltip_ability_special_bonus_lifesteal_10"                                         "%value%%% Lifesteal"
"DOTA_Tooltip_ability_special_bonus_lifesteal_12"                                         "%value%%% Lifesteal"
"DOTA_Tooltip_ability_special_bonus_lifesteal_15"                                         "%value%%% Lifesteal"
"DOTA_Tooltip_ability_special_bonus_lifesteal_20"                                         "%value%%% Lifesteal"
"DOTA_Tooltip_ability_special_bonus_lifesteal_25"                                         "%value%%% Lifesteal"
"DOTA_Tooltip_ability_special_bonus_lifesteal_30"                                         "%value%%% Lifesteal"
"DOTA_Tooltip_ability_special_bonus_lifesteal_35"                                         "%value%%% Lifesteal"
"DOTA_Tooltip_ability_special_bonus_lifesteal_40"                                         "%value%%% Lifesteal"
"DOTA_Tooltip_ability_special_bonus_lifesteal_100"                                        "%value%%% Lifesteal"
"DOTA_Tooltip_ability_special_bonus_agility_and_intelligence_6"                           "+%value% Agility and Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_6"                                       "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_7"                                       "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_8"                                       "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_10"                                      "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_12"                                      "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_13"                                      "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_14"                                      "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_15"                                      "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_16"                                      "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_20"                                      "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_25"                                      "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_30"                                      "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_35"                                      "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_intelligence_75"                                      "+%value% Intelligence"
"DOTA_Tooltip_ability_special_bonus_strength_3"                                           "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_4"                                           "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_5"                                           "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_6"                                           "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_7"                                           "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_8"                                           "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_9"                                           "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_10"                                          "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_11"                                          "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_12"                                          "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_13"                                          "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_14"                                          "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_15"                                          "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_16"                                          "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_18"                                          "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_20"                                          "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_25"                                          "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_30"                                          "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_strength_40"                                          "+%value% Strength"
"DOTA_Tooltip_ability_special_bonus_agility_5"                                            "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_6"                                            "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_7"                                            "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_8"                                            "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_10"                                           "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_12"                                           "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_13"                                           "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_14"                                           "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_15"                                           "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_16"                                           "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_20"                                           "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_25"                                           "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_30"                                           "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_40"                                           "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_80"                                           "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_agility_100"                                          "+%value% Agility"
"DOTA_Tooltip_ability_special_bonus_armor_2"                                              "+%value% Armor"
"DOTA_Tooltip_ability_special_bonus_armor_3"                                              "+%value% Armor"
"DOTA_Tooltip_ability_special_bonus_armor_4"                                              "+%value% Armor"
"DOTA_Tooltip_ability_special_bonus_armor_5"                                              "+%value% Armor"
"DOTA_Tooltip_ability_special_bonus_armor_6"                                              "+%value% Armor"
"DOTA_Tooltip_ability_special_bonus_armor_7"                                              "+%value% Armor"
"DOTA_Tooltip_ability_special_bonus_armor_8"                                              "+%value% Armor"
"DOTA_Tooltip_ability_special_bonus_armor_9"                                              "+%value% Armor"
"DOTA_Tooltip_ability_special_bonus_armor_10"                                             "+%value% Armor"
"DOTA_Tooltip_ability_special_bonus_armor_12"                                             "+%value% Armor"
"DOTA_Tooltip_ability_special_bonus_armor_15"                                             "+%value% Armor"
"DOTA_Tooltip_ability_special_bonus_armor_20"                                             "+%value% Armor"
"DOTA_Tooltip_ability_special_bonus_armor_30"                                             "+%value% Armor"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_5"                                   "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_6"                                   "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_8"                                   "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_10"                                  "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_12"                                  "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_15"                                  "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_20"                                  "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_25"                                  "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_30"                                  "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_35"                                  "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_40"                                  "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_50"                                  "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_80"                                  "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_magic_resistance_100"                                 "+%value%%% Magic Resistance"
"DOTA_Tooltip_ability_special_bonus_mana_reduction_9"                                     "+%value%%% Manacost/Manaloss Reduction"
"DOTA_Tooltip_ability_special_bonus_mana_reduction_11"                                    "+%value%%% Manacost/Manaloss Reduction"
"DOTA_Tooltip_ability_special_bonus_attack_damage_10"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_12"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_15"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_16"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_18"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_20"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_25"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_30"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_35"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_40"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_45"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_50"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_55"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_60"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_65"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_70"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_75"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_80"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_90"                                     "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_100"                                    "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_120"                                    "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_150"                                    "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_160"                                    "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_200"                                    "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_250"                                    "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_251"                                    "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_damage_400"                                    "+%value% Damage"
"DOTA_Tooltip_ability_special_bonus_attack_base_damage_15"                                "+%value% Base Damage"
"DOTA_Tooltip_ability_special_bonus_attack_base_damage_20"                                "+%value% Base Damage"
"DOTA_Tooltip_ability_special_bonus_attack_base_damage_25"                                "+%value% Base Damage"
"DOTA_Tooltip_ability_special_bonus_attack_base_damage_30"                                "+%value% Base Damage"
"DOTA_Tooltip_ability_special_bonus_attack_base_damage_45"                                "+%value% Base Damage"
"DOTA_Tooltip_ability_special_bonus_attack_base_damage_50"                                "+%value% Base Damage"
"DOTA_Tooltip_ability_special_bonus_attack_range_50"                                      "+%value% Attack Range"
"DOTA_Tooltip_ability_special_bonus_attack_range_75"                                      "+%value% Attack Range"
"DOTA_Tooltip_ability_special_bonus_attack_range_100"                                     "+%value% Attack Range"
"DOTA_Tooltip_ability_special_bonus_attack_range_125"                                     "+%value% Attack Range"
"DOTA_Tooltip_ability_special_bonus_attack_range_150"                                     "+%value% Attack Range"
"DOTA_Tooltip_ability_special_bonus_attack_range_175"                                     "+%value% Attack Range"
"DOTA_Tooltip_ability_special_bonus_attack_range_200"                                     "+%value% Attack Range"
"DOTA_Tooltip_ability_special_bonus_attack_range_250"                                     "+%value% Attack Range"
"DOTA_Tooltip_ability_special_bonus_attack_range_275"                                     "+%value% Attack Range"
"DOTA_Tooltip_ability_special_bonus_attack_range_300"                                     "+%value% Attack Range"
"DOTA_Tooltip_ability_special_bonus_attack_range_325"                                     "+%value% Attack Range"
"DOTA_Tooltip_ability_special_bonus_attack_range_400"                                     "+%value% Attack Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_50"                                        "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_60"                                        "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_75"                                        "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_100"                                       "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_125"                                       "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_150"                                       "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_175"                                       "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_200"                                       "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_225"                                       "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_250"                                       "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_275"                                       "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_300"                                       "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_325"                                       "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_350"                                       "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_cast_range_400"                                       "+%value% Cast Range"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_3"                                      "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_4"                                      "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_5"                                      "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_6"                                      "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_7"                                      "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_8"                                      "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_9"                                      "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_10"                                     "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_11"                                     "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_12"                                     "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_14"                                     "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_15"                                     "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_16"                                     "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_20"                                     "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_spell_amplify_25"                                     "+%value%%% Spell Amplification"
"DOTA_Tooltip_ability_special_bonus_cooldown_reduction_6"                                 "%value%%% Cooldown Reduction"
"DOTA_Tooltip_ability_special_bonus_cooldown_reduction_8"                                 "%value%%% Cooldown Reduction"
"DOTA_Tooltip_ability_special_bonus_cooldown_reduction_10"                                "%value%%% Cooldown Reduction"
"DOTA_Tooltip_ability_special_bonus_cooldown_reduction_12"                                "%value%%% Cooldown Reduction"
